crop,location,quality,market_price,quantity
Tomato,Thanjavur,B,26.6,100
Tomato,Erode,A,34.61,101
Chilli,Thanjavur,B,55.99,102
Cauliflower,Trichy,A,39.72,103
Chilli,Erode,C,52.22,104
Cabbage,Coimbatore,B,26.23,105
Cauliflower,Vellore,B,35.85,106
Chilli,Salem,C,50.03,107
Okra,Thanjavur,A,46.43,108
Cabbage,Chennai,A,30.24,109
Beans,Thanjavur,C,38.69,110
Beans,Salem,B,49.9,111
Cabbage,Madurai,B,23.34,112
Brinjal,Erode,B,33.43,113
Chilli,Vellore,C,51.09,114
Cauliflower,Coimbatore,B,39.18,115
Cauliflower,Madurai,A,41.63,116
Chilli,Erode,B,60.74,117
Brinjal,Trichy,B,29.78,118
Onion,Madurai,B,34.77,119
Cauliflower,Tirunelveli,B,33.13,120
Brinjal,Tirunelveli,B,29.63,121
Okra,Chennai,B,46.69,122
Onion,Trichy,C,26.29,123
Cauliflower,Chennai,A,43.81,124
Cabbage,Erode,B,25.13,125
Beans,Erode,B,51.37,126
Carrot,Madurai,A,43.39,127
Chilli,Thanjavur,B,55.62,128
Beans,Tirunelveli,A,54.41,129
Cabbage,Trichy,A,24.96,130
Okra,Erode,A,50.59,131
Carrot,Madurai,C,32.62,132
Cabbage,Erode,A,29.79,133
Onion,Thanjavur,B,29.25,134
Chilli,Coimbatore,A,72.18,135
Potato,Trichy,A,27.95,136
Cauliflower,Tirunelveli,A,36.79,137
Tomato,Thanjavur,B,26.19,138
Carrot,Erode,B,38.81,139
Okra,Chennai,B,46.18,140
Potato,Trichy,A,27.89,141
Okra,Madurai,B,43.49,142
Onion,Dindigul,B,31.9,143
Okra,Tirunelveli,A,45.97,144
Cabbage,Trichy,B,22.67,145
Onion,Trichy,B,32.33,146
Potato,Tirunelveli,B,23.21,147
Beans,Salem,B,48.51,148
Onion,Chennai,C,30.73,149
Brinjal,Madurai,B,30.66,150
Okra,Erode,A,51.97,151
Chilli,Thanjavur,B,56.79,152
Okra,Dindigul,A,48.68,153
Potato,Tirunelveli,A,25.79,154
Cabbage,Vellore,A,28.35,155
Okra,Coimbatore,B,46.97,156
Beans,Dindigul,A,55.99,157
Onion,Trichy,C,27.34,158
Tomato,Thanjavur,C,22.01,159
Potato,Tirunelveli,A,26.63,160
Carrot,Erode,A,45.19,161
Chilli,Thanjavur,A,63.42,162
Beans,Coimbatore,A,62.33,163
Cauliflower,Madurai,A,42.57,164
Chilli,Vellore,A,68.28,165
Beans,Thanjavur,C,39.1,166
Cabbage,Madurai,A,28.73,167
Onion,Madurai,B,32.36,168
Onion,Tirunelveli,B,30.02,169
Cabbage,Madurai,C,21.13,170
Tomato,Thanjavur,A,29.51,171
Beans,Salem,B,49.43,172
Carrot,Dindigul,A,41.99,173
Cabbage,Chennai,B,26.14,174
Cauliflower,Madurai,A,41.58,175
Tomato,Dindigul,B,28.32,176
Chilli,Vellore,B,59.53,177
Cauliflower,Chennai,A,43.12,178
Onion,Thanjavur,A,34.37,179
Chilli,Erode,C,53.62,180
Onion,Trichy,A,37.7,181
Potato,Erode,C,21.78,182
Brinjal,Coimbatore,A,39.37,183
Cauliflower,Vellore,A,40.46,184
Cabbage,Tirunelveli,A,25.53,185
Carrot,Salem,A,43.17,186
Brinjal,Madurai,A,36.69,187
Cabbage,Madurai,A,27.39,188
Potato,Madurai,A,30.28,189
Brinjal,Erode,A,38.23,190
Beans,Tirunelveli,C,39.37,191
Brinjal,Chennai,A,41.35,192
Onion,Coimbatore,B,37.31,193
Onion,Chennai,A,41.61,194
Cauliflower,Madurai,C,30.81,195
Cabbage,Dindigul,A,27.19,196
Cauliflower,Dindigul,C,29.37,197
Brinjal,Thanjavur,B,27.77,198
Chilli,Madurai,B,60.12,199
Beans,Vellore,B,49.81,200
Okra,Erode,A,51.45,201
Cabbage,Trichy,B,23.38,202
Carrot,Salem,A,42.29,203
Cabbage,Salem,B,22.73,204
Chilli,Dindigul,C,51.54,205
Chilli,Salem,B,60.4,206
Cabbage,Erode,C,21.01,207
Chilli,Erode,A,70.94,208
Tomato,Coimbatore,B,32.85,209
Beans,Erode,A,60.11,210
Brinjal,Chennai,C,28.85,211
Beans,Dindigul,C,42.86,212
Cabbage,Thanjavur,B,19.19,213
Tomato,Coimbatore,B,32.46,214
Brinjal,Erode,A,38.87,215
Tomato,Tirunelveli,B,27.24,216
Chilli,Thanjavur,B,57.29,217
Onion,Tirunelveli,C,26.82,218
Chilli,Madurai,A,69.29,219
Chilli,Trichy,B,58.65,220
Chilli,Salem,C,50.34,221
Okra,Coimbatore,A,53.93,222
Carrot,Madurai,A,44.5,223
Brinjal,Trichy,A,35.69,224
Potato,Tirunelveli,C,19.71,225
Okra,Trichy,A,49.36,226
Tomato,Thanjavur,C,22.54,227
Onion,Vellore,B,32.4,228
Cabbage,Tirunelveli,B,21.09,229
Tomato,Trichy,C,22.8,230
Beans,Trichy,B,48.35,231
Brinjal,Dindigul,B,29.87,232
Carrot,Dindigul,C,31.07,233
Chilli,Vellore,A,69.11,234
Okra,Chennai,C,39.52,235
Onion,Coimbatore,A,42.71,236
Cauliflower,Madurai,C,31.02,237
Beans,Chennai,A,60.46,238
Cauliflower,Erode,C,30.26,239
Onion,Vellore,A,39.7,240
Beans,Dindigul,B,49.87,241
Cauliflower,Vellore,A,40.78,242
Potato,Madurai,B,27.08,243
Brinjal,Erode,C,27.57,244
Cauliflower,Thanjavur,A,36.51,245
Tomato,Thanjavur,C,20.99,246
Brinjal,Chennai,B,34.38,247
Onion,Vellore,B,34.74,248
Carrot,Chennai,A,45.14,249
Brinjal,Trichy,B,29.85,250
Cauliflower,Tirunelveli,A,39.01,251
Brinjal,Salem,B,31.85,252
Onion,Erode,C,30.06,253
Cabbage,Tirunelveli,B,22.56,254
Potato,Madurai,A,30.03,255
Tomato,Salem,B,29.27,256
Cabbage,Erode,B,24.33,257
Cauliflower,Coimbatore,B,38.11,258
Beans,Chennai,B,53.55,259
Potato,Coimbatore,B,29.28,260
Brinjal,Thanjavur,B,28.15,261
Okra,Salem,B,43.85,262
Potato,Trichy,B,26.08,263
Beans,Tirunelveli,B,47.07,264
Potato,Dindigul,B,24.86,265
Onion,Thanjavur,A,33.82,266
Carrot,Trichy,A,41.93,267
Cauliflower,Vellore,A,41.17,268
Brinjal,Salem,A,36.4,269
Tomato,Thanjavur,A,28.31,270
Chilli,Vellore,A,69.72,271
Onion,Erode,A,37.88,272
Brinjal,Dindigul,C,26.7,273
Cabbage,Salem,B,21.75,274
Chilli,Salem,B,58.93,275
Okra,Coimbatore,B,47.53,276
Chilli,Madurai,C,52.3,277
Beans,Tirunelveli,C,41.02,278
Okra,Madurai,B,43.65,279
Carrot,Chennai,B,40.21,280
Cabbage,Trichy,A,24.55,281
Onion,Dindigul,A,36.7,282
Potato,Coimbatore,B,29.92,283
Chilli,Trichy,A,65.35,284
Cauliflower,Vellore,B,35.86,285
Cabbage,Erode,B,25.16,286
Chilli,Salem,B,59.53,287
Beans,Vellore,B,50.24,288
Okra,Vellore,B,43.75,289
Carrot,Tirunelveli,C,28.75,290
Brinjal,Trichy,B,29.29,291
Tomato,Salem,C,24.69,292
Carrot,Madurai,A,44.29,293
Onion,Chennai,C,31.04,294
Cabbage,Salem,B,22.95,295
Cabbage,Coimbatore,B,27.15,296
Chilli,Dindigul,B,60.0,297
Beans,Thanjavur,C,37.17,298
Onion,Dindigul,B,32.14,299
Tomato,Madurai,B,29.06,300
Okra,Tirunelveli,B,42.29,301
Potato,Dindigul,A,30.21,302
Beans,Thanjavur,A,51.58,303
Onion,Chennai,B,35.58,304
Cauliflower,Dindigul,B,33.58,305
Onion,Trichy,B,33.02,306
Onion,Tirunelveli,C,26.78,307
Cabbage,Vellore,A,26.25,308
Beans,Chennai,A,59.99,309
Chilli,Thanjavur,B,55.35,310
Chilli,Thanjavur,C,47.79,311
Beans,Coimbatore,B,52.65,312
Cabbage,Chennai,B,25.5,313
Brinjal,Chennai,B,33.67,314
Okra,Erode,A,49.82,315
Brinjal,Salem,C,26.03,316
Chilli,Tirunelveli,A,65.32,317
Brinjal,Vellore,A,37.26,318
Okra,Salem,B,43.56,319
Brinjal,Dindigul,A,35.38,320
Brinjal,Madurai,B,30.62,321
Tomato,Salem,C,26.13,322
Carrot,Madurai,A,42.82,323
Carrot,Coimbatore,A,46.45,324
Beans,Erode,A,58.39,325
Cauliflower,Dindigul,B,34.28,326
Beans,Coimbatore,C,43.69,327
Brinjal,Salem,C,25.93,328
Beans,Thanjavur,B,46.22,329
Tomato,Coimbatore,A,38.62,330
Potato,Madurai,C,22.41,331
Tomato,Tirunelveli,B,26.87,332
Okra,Trichy,B,43.0,333
Brinjal,Erode,C,27.65,334
Onion,Thanjavur,A,35.13,335
Carrot,Madurai,B,37.66,336
Chilli,Tirunelveli,B,57.76,337
Beans,Dindigul,A,55.72,338
Tomato,Coimbatore,A,37.22,339
Onion,Tirunelveli,A,35.45,340
Cauliflower,Madurai,A,42.24,341
Cauliflower,Erode,A,43.0,342
Cabbage,Salem,B,22.99,343
Onion,Madurai,C,28.89,344
Potato,Tirunelveli,B,21.75,345
Cabbage,Trichy,B,21.18,346
Brinjal,Coimbatore,A,38.43,347
Beans,Trichy,B,49.17,348
Chilli,Salem,C,49.24,349
Cabbage,Trichy,B,22.05,350
Okra,Chennai,A,53.12,351
Tomato,Chennai,A,37.45,352
Potato,Madurai,B,26.8,353
Tomato,Tirunelveli,B,25.51,354
Cabbage,Chennai,C,23.54,355
Cabbage,Madurai,B,23.29,356
Onion,Coimbatore,C,30.64,357
Beans,Erode,C,44.26,358
Chilli,Vellore,A,69.51,359
Potato,Erode,A,31.56,360
Okra,Salem,A,49.72,361
Chilli,Salem,A,67.41,362
Okra,Thanjavur,B,41.38,363
Cauliflower,Salem,C,30.83,364
Onion,Madurai,A,38.23,365
Tomato,Madurai,B,28.96,366
Onion,Chennai,A,42.84,367
Brinjal,Tirunelveli,A,33.55,368
Tomato,Vellore,B,29.13,369
Potato,Coimbatore,A,32.35,370
Potato,Coimbatore,B,27.57,371
Potato,Chennai,B,28.85,372
Cauliflower,Vellore,A,40.72,373
Potato,Tirunelveli,A,26.75,374
Brinjal,Thanjavur,B,27.89,375
Chilli,Dindigul,B,59.17,376
Beans,Chennai,B,52.2,377
Cabbage,Trichy,A,25.55,378
Okra,Salem,B,43.22,379
Carrot,Dindigul,A,43.7,380
Beans,Vellore,C,41.57,381
Carrot,Trichy,B,36.02,382
Okra,Salem,B,43.97,383
Okra,Thanjavur,B,41.25,384
Cabbage,Madurai,C,19.8,385
Cauliflower,Thanjavur,A,37.94,386
Cabbage,Thanjavur,A,24.52,387
Beans,Salem,B,48.93,388
Okra,Salem,A,51.99,389
Brinjal,Tirunelveli,B,29.78,390
Brinjal,Dindigul,B,31.73,391
Carrot,Salem,A,42.56,392
Carrot,Madurai,B,36.45,393
Tomato,Dindigul,A,32.2,394
Cabbage,Thanjavur,C,16.45,395
Cabbage,Coimbatore,A,30.72,396
Tomato,Trichy,A,32.42,397
Tomato,Trichy,C,23.85,398
Okra,Trichy,A,48.29,399
Potato,Coimbatore,B,28.98,400
Chilli,Dindigul,C,49.26,401
Carrot,Dindigul,A,42.78,402
Beans,Salem,B,47.0,403
Cauliflower,Vellore,B,35.55,404
Brinjal,Madurai,A,36.55,405
Potato,Vellore,B,25.31,406
Chilli,Coimbatore,A,72.76,407
Potato,Thanjavur,B,23.27,408
Okra,Dindigul,A,49.27,409
Chilli,Madurai,A,68.14,410
Okra,Madurai,B,44.44,411
Potato,Coimbatore,B,29.93,412
Brinjal,Vellore,A,37.22,413
Chilli,Coimbatore,A,72.2,414
Tomato,Dindigul,C,24.19,415
Carrot,Tirunelveli,B,34.86,416
Carrot,Tirunelveli,B,35.06,417
Carrot,Madurai,C,33.23,418
Cauliflower,Dindigul,A,40.72,419
Beans,Coimbatore,A,61.7,420
Carrot,Madurai,C,33.01,421
Beans,Erode,B,51.23,422
Brinjal,Tirunelveli,A,31.01,423
Potato,Vellore,B,24.62,424
Cauliflower,Madurai,C,29.67,425
Brinjal,Chennai,A,38.71,426
Okra,Erode,B,45.33,427
Cauliflower,Coimbatore,C,32.35,428
Onion,Erode,A,39.16,429
Onion,Coimbatore,A,43.29,430
Chilli,Madurai,A,68.92,431
Cabbage,Salem,C,18.75,432
Cabbage,Thanjavur,B,19.67,433
Okra,Tirunelveli,B,41.37,434
Brinjal,Salem,A,36.24,435
Beans,Vellore,A,56.38,436
Onion,Vellore,B,34.48,437
Cabbage,Tirunelveli,B,21.7,438
Carrot,Dindigul,A,43.6,439
Carrot,Trichy,B,36.61,440
Brinjal,Tirunelveli,C,25.31,441
Potato,Erode,A,30.72,442
Cabbage,Trichy,A,25.57,443
Carrot,Erode,B,39.6,444
Carrot,Chennai,A,47.15,445
Potato,Thanjavur,C,17.86,446
Beans,Erode,A,58.43,447
Chilli,Madurai,A,69.27,448
Beans,Dindigul,A,56.84,449
Brinjal,Thanjavur,C,22.06,450
Chilli,Coimbatore,B,63.84,451
Chilli,Dindigul,A,67.45,452
Brinjal,Chennai,B,34.0,453
Beans,Erode,B,51.64,454
Cauliflower,Vellore,A,42.18,455
Chilli,Trichy,B,57.39,456
Cauliflower,Coimbatore,C,33.58,457
Carrot,Vellore,C,31.31,458
